t_s,hops_fwd,hops_rev,rtt_prop_ms,path_changed,path_fwd
0.0,11,11,98.479,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.1,11,11,98.482,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.2,11,11,98.484,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.3,11,11,98.486,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.4,11,11,98.489,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.5,11,11,98.491,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.6,11,11,98.493,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.7,11,11,98.496,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.8,11,11,98.498,0,1584-338-337-336-335-313-291-269-247-225-224-1585
0.9,11,11,98.501,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.0,11,11,98.503,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.1,11,11,98.505,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.2,11,11,98.508,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.3,11,11,98.510,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.4,11,11,98.512,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.5,11,11,98.515,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.6,11,11,98.517,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.7,11,11,98.520,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.8,11,11,98.522,0,1584-338-337-336-335-313-291-269-247-225-224-1585
1.9,11,11,98.525,0,1584-338-337-336-335-313-291-269-247-225-224-1585
2.0,11,11,98.527,0,1584-338-337-336-335-313-291-269-247-225-224-1585
2.1,11,11,98.529,0,1584-338-337-336-335-313-291-269-247-225-224-1585
2.2,11,11,98.532,0,1584-338-337-336-335-313-291-269-247-225-224-1585
2.3,11,11,98.534,0,1584-338-337-336-335-313-291-269-247-225-224-1585
2.4,12,12,98.535,1,1584-381-380-379-357-335-313-291-269-247-225-224-1585
2.5,12,12,98.530,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
2.6,12,12,98.526,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
2.7,12,12,98.522,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
2.8,12,12,98.518,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
2.9,12,12,98.513,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.0,12,12,98.509,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.1,12,12,98.505,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.2,12,12,98.501,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.3,12,12,98.497,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.4,12,12,98.492,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
